product_id,product_name,category,segment,size,color,price,cogs,gross_profit,margin_rate
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.84,1354.81,0.1225
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.08,5393.87,4129.21,0.4336
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.63,11371.92,4579.71,0.2871
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.72,8573.17,7180.55,0.4558
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.33,14063.57,1702.76,0.108
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.85,15291.06,804.79,0.05
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.82,6152.07,3061.75,0.3323
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39,22.49,17.9,0.4432
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.11,8528.92,2805.19,0.2475
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.68,9091.34,954.34,0.095
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.12,13338.09,2728.03,0.1698
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.42,4298.38,2246.04,0.3432
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.41,4883.89,1279.52,0.2076
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.75,5205.46,1450.29,0.2179
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.62,3404.74,1779.88,0.3433
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.41,10683.14,562.27,0.05
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.41,579.44,0.05
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.62,9748.82,1767.8,0.1535
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.45,6426.89,4074.56,0.388
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.48,9994.46,526.02,0.05
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64,9686.41,582.23,0.0567
